ensembl_id,biotype,description,chromosome,start,end,strand,source,gene_name,uniprot_ids,omim_ids,hgnc_id,entrez_id
ENSG00000136997,protein_coding,v-myc avian myelocytomatosis viral oncogene homolog [Source:HGNC Symbol;Acc:7553],8,128747680,128753674,1,Ensembl_GRCh37,MYC,"MYC,C-MYC",190080,7553,4609
ENSG00000153815,protein_coding,c-Maf inducing protein [Source:HGNC Symbol;Acc:24319],16,81478775,81745367,1,Ensembl_GRCh37,CMIP,CMIP,610112,24319,80790
ENSG00000101160,protein_coding,cathepsin Z [Source:HGNC Symbol;Acc:2547],20,57570240,57582302,-1,Ensembl_GRCh37,CTSZ,CTSZ,603169,2547,1522
ENSG00000101158,protein_coding,negative elongation factor complex member C/D [Source:HGNC Symbol;Acc:15934],20,57556263,57570188,1,Ensembl_GRCh37,NELFCD,"TH1L,NELFCD",605297,15934,51497
ENSG00000079691,protein_coding,leucine rich repeat containing 16A [Source:HGNC Symbol;Acc:21581],6,25279306,25620758,1,Ensembl_GRCh37,LRRC16A,LRRC16A,609593,21581,55604
ENSG00000171791,protein_coding,B-cell CLL/lymphoma 2 [Source:HGNC Symbol;Acc:990],18,60790579,60987361,-1,Ensembl_GRCh37,BCL2,BCL2,151430,990,596
ENSG00000111224,protein_coding,"poly (ADP-ribose) polymerase family, member 11 [Source:HGNC Symbol;Acc:1186]",12,3900213,3982608,-1,Ensembl_GRCh37,PARP11,PARP11,,1186,57097
ENSG00000136231,protein_coding,insulin-like growth factor 2 mRNA binding protein 3 [Source:HGNC Symbol;Acc:28868],7,23349828,23510086,-1,Ensembl_GRCh37,IGF2BP3,IGF2BP3,608259,28868,10643
ENSG00000140836,protein_coding,zinc finger homeobox 3 [Source:HGNC Symbol;Acc:777],16,72816784,73093597,-1,Ensembl_GRCh37,ZFHX3,ZFHX3,104155,777,463
ENSG00000107249,protein_coding,GLIS family zinc finger 3 [Source:HGNC Symbol;Acc:28510],9,3824127,4348392,-1,Ensembl_GRCh37,GLIS3,GLIS3,610192,28510,169792
ENSG00000100341,protein_coding,patatin-like phospholipase domain containing 5 [Source:HGNC Symbol;Acc:24888],22,44275558,44287893,-1,Ensembl_GRCh37,PNPLA5,PNPLA5,611589,24888,150379
ENSG00000100344,protein_coding,patatin-like phospholipase domain containing 3 [Source:HGNC Symbol;Acc:18590],22,44319619,44360368,1,Ensembl_GRCh37,PNPLA3,PNPLA3,609567,18590,80339
ENSG00000100347,protein_coding,SAMM50 sorting and assembly machinery component [Source:HGNC Symbol;Acc:24276],22,44351301,44406411,1,Ensembl_GRCh37,SAMM50,SAMM50,612058,24276,25813
ENSG00000196735,protein_coding,"major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:4942]",6,32595956,32614839,1,Ensembl_GRCh37,HLA-DQA1,"DQ-A1,HLA-DQA1",146880,4942,3117
ENSG00000179344,protein_coding,"major histocompatibility complex, class II, DQ beta 1 [Source:HGNC Symbol;Acc:4944]",6,32627244,32636160,-1,Ensembl_GRCh37,HLA-DQB1,"HLA-DRB3,HLA-DQB1,HLA-DQB3",604305,4944,3119
ENSG00000185920,protein_coding,patched 1 [Source:HGNC Symbol;Acc:9585],9,98205262,98279339,-1,Ensembl_GRCh37,PTCH1,"PTCH1,PTCH",601309,9585,5727
ENSG00000043143,protein_coding,jade family PHD finger 2 [Source:HGNC Symbol;Acc:22984],5,133860003,133918918,1,Ensembl_GRCh37,JADE2,"JADE2,PHF15",610515,22984,23338
ENSG00000254827,protein_coding,"solute carrier family 22 (organic cation transporter), member 18 antisense [Source:HGNC Symbol;Acc:10965]",11,2909010,2924970,-1,Ensembl_GRCh37,SLC22A18AS,SLC22A18AS,603240,10965,5003
ENSG00000110628,protein_coding,"solute carrier family 22, member 18 [Source:HGNC Symbol;Acc:10964]",11,2920951,2946476,1,Ensembl_GRCh37,SLC22A18,"SLC22A18,DKFZP667A184",602631,10964,5002
ENSG00000129757,protein_coding,"cyclin-dependent kinase inhibitor 1C (p57, Kip2) [Source:HGNC Symbol;Acc:1786]",11,2904443,2907111,-1,Ensembl_GRCh37,CDKN1C,CDKN1C,600856,1786,1028
ENSG00000101162,protein_coding,"tubulin, beta 1 class VI [Source:HGNC Symbol;Acc:16257]",20,57594309,57601709,1,Ensembl_GRCh37,TUBB1,TUBB1,612901,16257,81027
ENSG00000124172,protein_coding,"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit [Source:HGNC Symbol;Acc:838]",20,57600522,57607437,-1,Ensembl_GRCh37,ATP5E,ATP5E,606153,838,514
ENSG00000101166,protein_coding,slowmo homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:15892],20,57608200,57617964,-1,Ensembl_GRCh37,SLMO2,SLMO2,,15892,51012
ENSG00000138640,protein_coding,"family with sequence similarity 13, member A [Source:HGNC Symbol;Acc:19367]",4,89647106,90032549,-1,Ensembl_GRCh37,FAM13A,FAM13A,613299,19367,10144
