rsid,chr,pos,pvalue,gene,gene_id,distance_to_gene,gene_position,grass_score,grass_confidence
rs2153827,10,94424073,2.2299999999999998e-69,KIF11,ENSG00000138160,8923,downstream,,
rs77065181,10,23487778,1.567e-08,PTF1A,ENSG00000168267,4597,downstream,,
rs77065181,10,23487778,1.567e-08,C10orf115,ENSG00000204566,4967,upstream,,
rs3833719,10,112622359,2.792e-11,PDCD4,ENSG00000150593,9206,upstream,,
rs1111875,10,94462882,2.13796e-21,HHEX,ENSG00000152804,7479,downstream,,
rs1613299,10,80954785,9.12011e-16,ZMIZ1,ENSG00000108175,0,intronic,,
rs2421016,10,124167512,1.4e-11,PLEKHA1,ENSG00000107679,0,intronic,,
rs201024620,10,70148234,1.3508e-10,RUFY2,ENSG00000204130,0,intronic,,
rs182047810,10,70132176,1.36446e-10,RUFY2,ENSG00000204130,0,intronic,,
rs58064715,10,114751986,2.1510000000000002e-34,TCF7L2,ENSG00000148737,0,intronic,,
rs5015480,10,94465559,3.7153499999999998e-22,HHEX,ENSG00000152804,10156,downstream,,
rs7895872,10,112678657,1.369e-11,PDCD4,ENSG00000150593,18893,downstream,,
rs7895872,10,112678657,1.369e-11,BBIP1,ENSG00000214413,0,intronic,,
rs7895872,10,112678657,1.369e-11,SHOC2,ENSG00000108061,644,upstream,,
rs72807614,10,70898757,1.27028e-13,VPS26A,ENSG00000122958,0,intronic,,
rs2633310,10,75594050,2.375e-08,CAMK2G,ENSG00000148660,0,intronic,,
rs12244851,10,114773926,4.054e-54,TCF7L2,ENSG00000148737,0,intronic,,
rs4990414,10,68442048,4.65801e-12,CTNNA3,ENSG00000183230,0,intronic,,
rs11593211,10,68443844,4.71954e-12,CTNNA3,ENSG00000183230,0,intronic,,
rs76804656,10,63724787,6.247e-09,ARID5B,ENSG00000150347,0,intronic,,
rs117840784,10,68649896,3.72392e-11,CTNNA3,ENSG00000183230,0,intronic,,
rs6583826,10,94347830,1.355e-11,IDE,ENSG00000119912,13997,downstream,,
rs6583826,10,94347830,1.355e-11,KIF11,ENSG00000138160,5213,upstream,,
rs41274074,10,64974380,1.653e-12,JMJD1C,ENSG00000171988,0,intronic,,
rs833364,10,93837134,5.46538e-10,CPEB3,ENSG00000107864,0,intronic,,
rs72812178,10,70981553,2.61517e-13,SUPV3L1,ENSG00000156502,12698,downstream,,
rs72812178,10,70981553,2.61517e-13,HKDC1,ENSG00000156510,0,intronic,,
rs2862954,10,101912064,1.797e-09,ERLIN1,ENSG00000107566,0,intronic,,
rs4745916,10,68463784,4.60151e-12,CTNNA3,ENSG00000183230,0,intronic,,
rs6585827,10,124165615,2.2e-12,PLEKHA1,ENSG00000107679,0,intronic,,
rs7895525,10,12250620,3.46737e-13,NUDT5,ENSG00000165609,12477,downstream,,
rs7895525,10,12250620,3.46737e-13,CDC123,ENSG00000151465,0,intronic,,
rs12219514,10,94466439,3.0902999999999996e-21,HHEX,ENSG00000152804,11036,downstream,,
rs185612218,10,114733637,1.09673e-21,TCF7L2,ENSG00000148737,0,intronic,,
rs2395272,10,71640255,8.98152e-10,COL13A1,ENSG00000197467,0,intronic,,
rs12780155,10,12261852,6.30957e-11,CDC123,ENSG00000151465,0,intronic,,
rs35936842,10,114818772,2.784e-41,TCF7L2,ENSG00000148737,0,intronic,,
rs10882064,10,94200769,6.914e-42,IDE,ENSG00000119912,10672,upstream,,
rs140802766,10,68342242,1.58125e-10,CTNNA3,ENSG00000183230,0,intronic,,
rs4918789,10,114821807,5.344e-41,TCF7L2,ENSG00000148737,0,intronic,,
rs703977,10,80944230,9.54993e-14,ZMIZ1,ENSG00000108175,0,intronic,,
rs7912739,10,68484217,3.84415e-09,CTNNA3,ENSG00000183230,0,intronic,,
rs1341053,10,112624417,5.485e-11,PDCD4,ENSG00000150593,7148,upstream,,
rs703976,10,80945964,6.60693e-14,ZMIZ1,ENSG00000108175,0,intronic,,
rs2394307,10,68626677,3.82675e-09,CTNNA3,ENSG00000183230,0,intronic,,
rs11257659,10,12309269,5.01187e-11,CDC123,ENSG00000151465,16681,downstream,,
rs10786052,10,94446635,1.413e-36,HHEX,ENSG00000152804,1310,upstream,,
rs140785125,10,114521215,2.78952e-09,VTI1A,ENSG00000151532,0,intronic,,
rs149954646,10,114741507,2.9194399999999998e-21,TCF7L2,ENSG00000148737,0,intronic,,
rs11257658,10,12309268,5.01187e-11,CDC123,ENSG00000151465,16680,downstream,,
rs1234213,10,89689321,5.756e-10,PTEN,ENSG00000171862,0,intronic,,
rs703980,10,80943841,9.33254e-14,ZMIZ1,ENSG00000108175,0,intronic,,
rs118170529,10,114515829,1.52785e-08,VTI1A,ENSG00000151532,0,intronic,,
rs7903302,10,94429511,5.2e-25,KIF11,ENSG00000138160,14361,downstream,,
rs7903302,10,94429511,5.2e-25,HHEX,ENSG00000152804,18434,upstream,,
rs10885405,10,114777670,3.30598e-29,TCF7L2,ENSG00000148737,0,intronic,,
rs7922807,10,102023006,1.612e-09,CWF19L1,ENSG00000095485,0,intronic,,
rs7922807,10,102023006,1.612e-09,BLOC1S2,ENSG00000196072,10707,upstream,,
rs12269143,10,68876314,4.81781e-10,CTNNA3,ENSG00000183230,0,intronic,,
rs12269143,10,68876314,4.81781e-10,LRRTM3,ENSG00000198739,16726,downstream,,
rs139722368,10,64967950,1.514e-12,JMJD1C,ENSG00000171988,0,intronic,,
rs9419741,10,94430525,2.4e-19,KIF11,ENSG00000138160,15375,downstream,,
rs9419741,10,94430525,2.4e-19,HHEX,ENSG00000152804,17420,upstream,,
rs703978,10,80944147,3.23594e-14,ZMIZ1,ENSG00000108175,0,intronic,,
rs1903858,10,89653686,6.447e-10,PTEN,ENSG00000171862,0,intronic,,
rs6585204,10,114783586,4.7457000000000004e-29,TCF7L2,ENSG00000148737,0,intronic,,
rs1955163,10,71273357,1.681e-11,TSPAN15,ENSG00000099282,5932,downstream,,
rs6585202,10,114782803,3.08248e-29,TCF7L2,ENSG00000148737,0,intronic,,
rs703979,10,80944095,9.54993e-14,ZMIZ1,ENSG00000108175,0,intronic,,
rs11279190,10,114777138,3.3166500000000004e-29,TCF7L2,ENSG00000148737,0,intronic,,
rs7896600,10,12255175,7.4131e-13,NUDT5,ENSG00000165609,17032,downstream,,
rs7896600,10,12255175,7.4131e-13,CDC123,ENSG00000151465,0,intronic,,
rs10906396,10,13551876,1.63301e-08,BEND7,ENSG00000165626,0,intronic,,
rs148005806,10,68282727,2.71019e-10,CTNNA3,ENSG00000183230,0,intronic,,
rs142051045,10,70171009,3.06577e-08,RUFY2,ENSG00000204130,3958,downstream,,
rs142051045,10,70171009,3.06577e-08,DNA2,ENSG00000138346,2812,upstream,,
rs10882102,10,94466495,8.12831e-22,HHEX,ENSG00000152804,11092,downstream,,
rs2292626,10,124186714,1.8e-12,PLEKHA1,ENSG00000107679,0,intronic,,
rs2185756,10,94430497,5.754399999999999e-21,KIF11,ENSG00000138160,15347,downstream,,
rs2185756,10,94430497,5.754399999999999e-21,HHEX,ENSG00000152804,17448,upstream,,
rs12778642,10,94464307,5.88844e-21,HHEX,ENSG00000152804,8904,downstream,,
rs12249208,10,63730012,1.314e-08,ARID5B,ENSG00000150347,0,intronic,,
rs5787030,10,94754166,4.893e-10,EXOC6,ENSG00000138190,0,intronic,,
rs10882098,10,94444793,5.12861e-21,HHEX,ENSG00000152804,3152,upstream,,
rs11187139,10,94466427,6.91831e-22,HHEX,ENSG00000152804,11024,downstream,,
rs4918788,10,114820961,2.019e-28,TCF7L2,ENSG00000148737,0,intronic,,
rs11187140,10,94466910,6.76083e-22,HHEX,ENSG00000152804,11507,downstream,,
rs11309330,10,94463962,1.3803799999999999e-21,HHEX,ENSG00000152804,8559,downstream,,
rs1977833,10,94463945,1.51356e-21,HHEX,ENSG00000152804,8542,downstream,,
rs1977832,10,94463779,1.6218099999999999e-21,HHEX,ENSG00000152804,8376,downstream,,
rs10998885,10,71389942,9.91745e-10,C10orf35,ENSG00000171224,65,upstream,,
rs12590,10,12292348,2.86601e-08,CDC123,ENSG00000151465,0,intronic,,
rs10882099,10,94460650,2.0893e-21,HHEX,ENSG00000152804,5247,downstream,,
rs11187138,10,94460281,1.9054599999999998e-21,HHEX,ENSG00000152804,4878,downstream,,
rs11591741,10,101976501,1.232e-09,CHUK,ENSG00000213341,0,intronic,,
rs11591741,10,101976501,1.232e-09,CWF19L1,ENSG00000095485,15554,upstream,,
rs146716733,10,63717113,2.522e-09,ARID5B,ENSG00000150347,0,intronic,,
rs34204798,10,80951130,7.07946e-14,ZMIZ1,ENSG00000108175,0,intronic,,
rs10882101,10,94462427,2.18776e-21,HHEX,ENSG00000152804,7024,downstream,,
rs7902006,10,68685929,3.77277e-09,CTNNA3,ENSG00000183230,0,intronic,,
rs7902006,10,68685929,3.77277e-09,LRRTM3,ENSG00000198739,0,intronic,,
rs12221133,10,12253597,1.04713e-12,NUDT5,ENSG00000165609,15454,downstream,,
rs12221133,10,12253597,1.04713e-12,CDC123,ENSG00000151465,0,intronic,,
rs77757273,10,63716319,2.681e-09,ARID5B,ENSG00000150347,0,intronic,,
rs10887150,10,124180578,2.8e-12,PLEKHA1,ENSG00000107679,0,intronic,,
rs1890966,10,99094436,3.141e-10,FRAT1,ENSG00000165879,12764,downstream,,
rs1890966,10,99094436,3.141e-10,FRAT2,ENSG00000181274,0,intronic,,
rs57212529,10,71644036,2.87243e-09,COL13A1,ENSG00000197467,0,intronic,,
rs10998840,10,71275363,2.53e-11,TSPAN15,ENSG00000099282,7938,downstream,,
rs10997521,10,68883155,6.12407e-10,CTNNA3,ENSG00000183230,0,intronic,,
rs703981,10,80942855,1.02329e-13,ZMIZ1,ENSG00000108175,0,intronic,,
rs11597086,10,101953705,2.016e-09,ERLIN1,ENSG00000107566,5614,downstream,,
rs11597086,10,101953705,2.016e-09,CHUK,ENSG00000213341,0,intronic,,
rs79695076,10,63717949,2.85e-09,ARID5B,ENSG00000150347,0,intronic,,
rs190636095,10,114775613,3.037390000000001e-18,TCF7L2,ENSG00000148737,0,intronic,,
rs2394335,10,68882072,6.10127e-10,CTNNA3,ENSG00000183230,0,intronic,,
rs11593235,10,68876038,6.09228e-10,CTNNA3,ENSG00000183230,0,intronic,,
rs11593235,10,68876038,6.09228e-10,LRRTM3,ENSG00000198739,16450,downstream,,
rs12782623,10,68890474,6.13098e-10,CTNNA3,ENSG00000183230,0,intronic,,
rs11187141,10,94467145,1.3489599999999999e-20,HHEX,ENSG00000152804,11742,downstream,,
rs12411852,10,68874161,6.13239e-10,CTNNA3,ENSG00000183230,0,intronic,,
rs12411852,10,68874161,6.13239e-10,LRRTM3,ENSG00000198739,14573,downstream,,
rs2297743,10,94352823,3.286e-13,IDE,ENSG00000119912,18990,downstream,,
rs2297743,10,94352823,3.286e-13,KIF11,ENSG00000138160,220,upstream,,
rs11187129,10,94429907,1.90546e-20,KIF11,ENSG00000138160,14757,downstream,,
rs11187129,10,94429907,1.90546e-20,HHEX,ENSG00000152804,18038,upstream,,
rs10882100,10,94460687,2.7e-19,HHEX,ENSG00000152804,5284,downstream,,
rs703975,10,80947777,4.7863e-14,ZMIZ1,ENSG00000108175,0,intronic,,
rs7087591,10,94473629,7.76247e-21,HHEX,ENSG00000152804,18226,downstream,,
rs2616132,10,71469514,6.578e-09,RP11-242G20.1,ENSG00000235645,17306,downstream,,
rs10882105,10,94474111,1.0232899999999999e-20,HHEX,ENSG00000152804,18708,downstream,,
rs10786053,10,94474097,1.07152e-20,HHEX,ENSG00000152804,18694,downstream,,
rs4478891,10,12267654,2.919e-24,CDC123,ENSG00000151465,0,intronic,,
rs697239,10,80947438,5.7544e-14,ZMIZ1,ENSG00000108175,0,intronic,,
rs697238,10,80947668,4.16869e-14,ZMIZ1,ENSG00000108175,0,intronic,,
rs703972,10,80952826,1.28825e-13,ZMIZ1,ENSG00000108175,0,intronic,,
rs11187143,10,94468934,1.58489e-20,HHEX,ENSG00000152804,13531,downstream,,
rs11187144,10,94469980,1.7378e-20,HHEX,ENSG00000152804,14577,downstream,,
rs10882104,10,94470515,1.8197e-20,HHEX,ENSG00000152804,15112,downstream,,
rs145532103,10,94439041,2.837e-23,HHEX,ENSG00000152804,8904,upstream,,
rs4933736,10,94471595,4.0738e-20,HHEX,ENSG00000152804,16192,downstream,,
rs999706,10,71640732,2.49385e-08,COL13A1,ENSG00000197467,0,intronic,,
rs12784396,10,102027407,7.099e-09,CWF19L1,ENSG00000095485,0,intronic,,
rs12784396,10,102027407,7.099e-09,BLOC1S2,ENSG00000196072,6306,upstream,,
rs703967,10,80953451,2.3e-11,ZMIZ1,ENSG00000108175,0,intronic,,
rs2901609,10,94475111,5.6234099999999994e-21,HHEX,ENSG00000152804,19708,downstream,,
rs144155527,10,114737633,2.00724e-21,TCF7L2,ENSG00000148737,0,intronic,,
rs114322470,10,114736670,1.96155e-21,TCF7L2,ENSG00000148737,0,intronic,,
rs2488087,10,94446041,2e-19,HHEX,ENSG00000152804,1904,upstream,,
rs5785928,10,71320654,7.304e-11,NEUROG3,ENSG00000122859,10800,upstream,,
rs192408510,10,114739988,2.51826e-21,TCF7L2,ENSG00000148737,0,intronic,,
rs703965,10,80955067,2.45471e-14,ZMIZ1,ENSG00000108175,0,intronic,,
rs184509201,10,114740337,2.65828e-21,TCF7L2,ENSG00000148737,0,intronic,,
rs145034729,10,114741673,2.9107199999999998e-21,TCF7L2,ENSG00000148737,0,intronic,,
rs564996039,10,94336491,3.1e-22,IDE,ENSG00000119912,2658,downstream,,
rs564996039,10,94336491,3.1e-22,KIF11,ENSG00000138160,16552,upstream,,
rs147932983,10,114743171,3.28322e-21,TCF7L2,ENSG00000148737,0,intronic,,
rs201381866,10,114743237,3.7514599999999996e-21,TCF7L2,ENSG00000148737,0,intronic,,
rs1234224,10,89675296,1.243e-09,PTEN,ENSG00000171862,0,intronic,,
rs147434301,10,71208690,1.05172e-17,TSPAN15,ENSG00000099282,2539,upstream,,
rs2642588,10,71466578,2.456e-08,RP11-242G20.1,ENSG00000235645,14370,downstream,,
rs1317548,10,12245520,2.52646e-09,NUDT5,ENSG00000165609,7377,downstream,,
rs1317548,10,12245520,2.52646e-09,CDC123,ENSG00000151465,0,intronic,,
rs703970,10,80953136,3.914e-14,ZMIZ1,ENSG00000108175,0,intronic,,
rs10882884,10,99025611,4.28253e-13,ARHGAP19-SLIT1,ENSG00000269891,0,intronic,,
rs10882884,10,99025611,4.28253e-13,ARHGAP19,ENSG00000213390,0,intronic,,
rs2812540,10,71465734,2.939e-08,RP11-242G20.1,ENSG00000235645,13526,downstream,,
rs2676806,10,93751259,4.92969e-10,BTAF1,ENSG00000095564,0,intronic,,
rs12785161,10,71279584,3.793e-11,TSPAN15,ENSG00000099282,12159,downstream,,
rs1236816,10,89684214,4.308e-10,PTEN,ENSG00000171862,0,intronic,,
rs190925,10,71320943,8.032e-11,NEUROG3,ENSG00000122859,10511,upstream,,
rs61862780,10,94468643,9.546e-12,HHEX,ENSG00000152804,13240,downstream,,
rs191708906,10,94225734,4.132e-21,IDE,ENSG00000119912,0,intronic,,
rs9420589,10,94450233,3.041e-08,HHEX,ENSG00000152804,0,intronic,,
rs138009366,10,94727180,4.261e-21,EXOC6,ENSG00000138190,0,intronic,,
rs2812539,10,71465359,2.391e-08,RP11-242G20.1,ENSG00000235645,13151,downstream,,
rs2306141,10,71390455,9.71583e-10,C10orf35,ENSG00000171224,0,intronic,,
rs2642594,10,71464178,4.315e-08,RP11-242G20.1,ENSG00000235645,11970,downstream,,
rs703966,10,80954251,1.23027e-14,ZMIZ1,ENSG00000108175,0,intronic,,
rs4646954,10,94333827,1.104e-12,IDE,ENSG00000119912,0,intronic,,
rs4646954,10,94333827,1.104e-12,KIF11,ENSG00000138160,19216,upstream,,
rs1234225,10,89673569,1.364e-09,PTEN,ENSG00000171862,0,intronic,,
rs11189127,10,99079023,8.03896e-13,FRAT1,ENSG00000165879,0,intronic,,
rs11189127,10,99079023,8.03896e-13,FRAT2,ENSG00000181274,13232,upstream,,
rs703969,10,80953393,6.265e-14,ZMIZ1,ENSG00000108175,0,intronic,,
rs703983,10,80941885,5.88844e-15,ZMIZ1,ENSG00000108175,0,intronic,,
rs9329341,10,13532447,3.30119e-08,BEND7,ENSG00000165626,0,intronic,,
rs185751352,10,94197699,4.5320000000000003e-20,IDE,ENSG00000119912,13742,upstream,,
rs4311997,10,124179299,2.4e-12,PLEKHA1,ENSG00000107679,0,intronic,,
rs1613295,10,80954789,9.77237e-15,ZMIZ1,ENSG00000108175,0,intronic,,
rs810517,10,80942620,4.89779e-14,ZMIZ1,ENSG00000108175,0,intronic,,
rs10787289,10,112657207,5.668e-11,PDCD4,ENSG00000150593,0,intronic,,
rs10787289,10,112657207,5.668e-11,BBIP1,ENSG00000214413,1281,upstream,,
rs16918226,10,64901223,5.217e-13,NRBF2,ENSG00000148572,0,intronic,,
rs188926543,10,94384786,8.844000000000002e-20,KIF11,ENSG00000138160,0,intronic,,
rs2104598,10,114715598,6.631e-09,TCF7L2,ENSG00000148737,0,intronic,,
rs149999846,10,94669718,1.084e-19,EXOC6,ENSG00000138190,0,intronic,,
rs7072204,10,124195485,2.4e-12,PLEKHA1,ENSG00000107679,3618,downstream,,
rs7072204,10,124195485,2.4e-12,ARMS2,ENSG00000254636,18684,upstream,,
rs72824062,10,114561232,2.837270000000001e-18,VTI1A,ENSG00000151532,0,intronic,,
rs117388093,10,67732989,1.48775e-09,CTNNA3,ENSG00000183230,0,intronic,,
rs7916672,10,13534234,3.49181e-08,BEND7,ENSG00000165626,0,intronic,,
rs4612730,10,124176452,2.9e-12,PLEKHA1,ENSG00000107679,0,intronic,,
rs185752466,10,70353433,3.86403e-10,TET1,ENSG00000138336,0,intronic,,
rs7097701,10,124171857,2.6e-12,PLEKHA1,ENSG00000107679,0,intronic,,
rs7079976,10,124172108,2.6e-12,PLEKHA1,ENSG00000107679,0,intronic,,
rs181990690,10,70353432,3.86403e-10,TET1,ENSG00000138336,0,intronic,,
rs3915932,10,80941936,5.88844e-15,ZMIZ1,ENSG00000108175,0,intronic,,
rs78677891,10,64900259,5.707e-13,NRBF2,ENSG00000148572,0,intronic,,
rs80192268,10,64900756,5.707e-13,NRBF2,ENSG00000148572,0,intronic,,
rs16913004,10,64895832,5.707e-13,NRBF2,ENSG00000148572,0,intronic,,
rs7898153,10,13540500,3.61751e-08,BEND7,ENSG00000165626,0,intronic,,
rs748179,10,80949874,1.44544e-14,ZMIZ1,ENSG00000108175,0,intronic,,
rs34942927,10,80957391,1.04713e-14,ZMIZ1,ENSG00000108175,0,intronic,,
rs2251555,10,13534851,3.65073e-08,BEND7,ENSG00000165626,0,intronic,,
rs55938323,10,114773887,1.2980800000000002e-18,TCF7L2,ENSG00000148737,0,intronic,,
rs56349747,10,124196250,1.438e-10,PLEKHA1,ENSG00000107679,4383,downstream,,
rs56349747,10,124196250,1.438e-10,ARMS2,ENSG00000254636,17919,upstream,,
rs149681890,10,94301412,7.798e-19,IDE,ENSG00000119912,0,intronic,,
rs703982,10,80942721,1.54882e-14,ZMIZ1,ENSG00000108175,0,intronic,,
rs10796087,10,13542761,3.73465e-08,BEND7,ENSG00000165626,0,intronic,,
rs143791988,10,67823390,7.94804e-10,CTNNA3,ENSG00000183230,0,intronic,,
rs151077490,10,64899803,6.24e-13,NRBF2,ENSG00000148572,0,intronic,,
rs61853199,10,80957394,1.1749e-14,ZMIZ1,ENSG00000108175,0,intronic,,
rs63664263,10,80957393,1.1749e-14,ZMIZ1,ENSG00000108175,0,intronic,,
rs186347126,10,67755070,1.1516e-09,CTNNA3,ENSG00000183230,0,intronic,,
rs7921099,10,13535359,3.84955e-08,BEND7,ENSG00000165626,0,intronic,,
rs11258418,10,13536073,3.85914e-08,BEND7,ENSG00000165626,0,intronic,,
rs11258419,10,13536086,3.88553e-08,BEND7,ENSG00000165626,0,intronic,,
rs188464573,10,70589916,2.37673e-10,STOX1,ENSG00000165730,0,intronic,,
rs7100710,10,12250861,2.23872e-11,NUDT5,ENSG00000165609,12718,downstream,,
rs7100710,10,12250861,2.23872e-11,CDC123,ENSG00000151465,0,intronic,,
rs703987,10,80939219,2.69153e-14,ZMIZ1,ENSG00000108175,0,intronic,,
rs7908662,10,124172912,2.6e-12,PLEKHA1,ENSG00000107679,0,intronic,,
rs16918239,10,64914193,6.823e-13,NRBF2,ENSG00000148572,0,intronic,,
rs16918239,10,64914193,6.823e-13,JMJD1C,ENSG00000171988,12788,upstream,,
rs16913026,10,64903204,6.823e-13,NRBF2,ENSG00000148572,0,intronic,,
rs11814083,10,71645440,5.87611e-09,COL13A1,ENSG00000197467,0,intronic,,
rs10906393,10,13536512,3.99862e-08,BEND7,ENSG00000165626,0,intronic,,
rs7075477,10,13544285,4.00028e-08,BEND7,ENSG00000165626,0,intronic,,
rs6602661,10,13542425,4.05537e-08,BEND7,ENSG00000165626,0,intronic,,
rs2421017,10,124148167,4.6e-12,PLEKHA1,ENSG00000107679,0,intronic,,
rs189395922,10,114755407,2.00812e-08,TCF7L2,ENSG00000148737,0,intronic,,
rs703973,10,80948883,1.41254e-14,ZMIZ1,ENSG00000108175,0,intronic,,
rs703986,10,80940565,2.75423e-14,ZMIZ1,ENSG00000108175,0,intronic,,
rs703984,10,80941417,9.54993e-15,ZMIZ1,ENSG00000108175,0,intronic,,
rs10788284,10,124149917,3.9e-12,PLEKHA1,ENSG00000107679,0,intronic,,
rs3758505,10,94334778,5.835e-13,IDE,ENSG00000119912,945,downstream,,
rs3758505,10,94334778,5.835e-13,KIF11,ENSG00000138160,18265,upstream,,
rs7070509,10,71279781,8.44e-11,TSPAN15,ENSG00000099282,12356,downstream,,
rs61875120,10,114753259,8.93203e-14,TCF7L2,ENSG00000148737,0,intronic,,
rs190755811,10,114822234,7.95243e-09,TCF7L2,ENSG00000148737,0,intronic,,
rs143416386,10,71150132,1.10629e-09,HK1,ENSG00000156515,0,intronic,,
rs143416386,10,71150132,1.10629e-09,TACR2,ENSG00000075073,13527,upstream,,
rs1334892,10,99080981,1.42135e-12,FRAT1,ENSG00000165879,0,intronic,,
rs1334892,10,99080981,1.42135e-12,FRAT2,ENSG00000181274,11274,upstream,,
rs2280141,10,124193181,1.4e-11,PLEKHA1,ENSG00000107679,1314,downstream,,
rs1408579,10,101912194,2.301e-09,ERLIN1,ENSG00000107566,0,intronic,,
rs1867976,10,71150485,1.09081e-09,HK1,ENSG00000156515,0,intronic,,
rs1867976,10,71150485,1.09081e-09,TACR2,ENSG00000075073,13174,upstream,,
rs697240,10,80940804,3.23594e-14,ZMIZ1,ENSG00000108175,0,intronic,,
rs10736116,10,99056921,9.206e-11,ARHGAP19-SLIT1,ENSG00000269891,4508,downstream,,
rs10736116,10,99056921,9.206e-11,ARHGAP19,ENSG00000213390,4508,downstream,,
rs10510110,10,124192430,1.5e-11,PLEKHA1,ENSG00000107679,563,downstream,,
rs703974,10,80948593,1.8197e-14,ZMIZ1,ENSG00000108175,0,intronic,,
rs11258422,10,13540869,4.35763e-08,BEND7,ENSG00000165626,0,intronic,,
rs59682467,10,64907337,8.154e-13,NRBF2,ENSG00000148572,0,intronic,,
rs59682467,10,64907337,8.154e-13,JMJD1C,ENSG00000171988,19644,upstream,,
rs191789264,10,93610554,2.777e-17,TNKS2,ENSG00000107854,0,intronic,,
rs181582648,10,93686941,3.288e-17,BTAF1,ENSG00000095564,0,intronic,,
rs181582648,10,93686941,3.288e-17,FGFBP3,ENSG00000174721,17701,downstream,,
rs150474047,10,93687696,3.407e-17,BTAF1,ENSG00000095564,0,intronic,,
rs150474047,10,93687696,3.407e-17,FGFBP3,ENSG00000174721,18456,downstream,,
rs7921105,10,13535398,4.46118e-08,BEND7,ENSG00000165626,0,intronic,,
