gene_name,snp_count,best_pvalue,max_risk_score,max_combined_score,min_distance,gene_id,gene_rank,ensembl_id,biotype,description,uniprot_ids,omim_ids,hgnc_id,entrez_id
MYC,5,4.85959e-12,0.4035469912167806,0.6132688000086739,35938,ENSG00000136997,27,ENSG00000136997,protein_coding,v-myc avian myelocytomatosis viral oncogene homolog [Source:HGNC Symbol;Acc:7553],"MYC,C-MYC",190080,7553,4609
CMIP,18,2.7e-08,0.403673378594131,0.6130177614711607,0,ENSG00000153815,28,ENSG00000153815,protein_coding,c-Maf inducing protein [Source:HGNC Symbol;Acc:24319],CMIP,610112,24319,80790
CTSZ,8,5.885730000000001e-26,0.4013090665103997,0.6117423450919875,25061,ENSG00000101160,29,ENSG00000101160,protein_coding,cathepsin Z [Source:HGNC Symbol;Acc:2547],CTSZ,603169,2547,1522
NELFCD,22,5.885730000000001e-26,0.4013090665103997,0.6117423450919875,17101,ENSG00000101158,30,ENSG00000101158,protein_coding,negative elongation factor complex member C/D [Source:HGNC Symbol;Acc:15934],"TH1L,NELFCD",605297,15934,51497
LRRC16A,5,1.58515e-08,0.4023447164127907,0.6115795188503821,0,ENSG00000079691,31,ENSG00000079691,protein_coding,leucine rich repeat containing 16A [Source:HGNC Symbol;Acc:21581],LRRC16A,609593,21581,55604
BCL2,5,2.52052e-08,0.4017850654185689,0.6109425765254671,0,ENSG00000171791,32,ENSG00000171791,protein_coding,B-cell CLL/lymphoma 2 [Source:HGNC Symbol;Acc:990],BCL2,151430,990,596
PARP11,20,1.06267e-27,0.3969104476524113,0.6074255022669288,129015,ENSG00000111224,33,ENSG00000111224,protein_coding,"poly (ADP-ribose) polymerase family, member 11 [Source:HGNC Symbol;Acc:1186]",PARP11,,1186,57097
IGF2BP3,15,7.1791e-09,0.3907182028515365,0.5988190952251504,0,ENSG00000136231,34,ENSG00000136231,protein_coding,insulin-like growth factor 2 mRNA binding protein 3 [Source:HGNC Symbol;Acc:28868],IGF2BP3,608259,28868,10643
ZFHX3,12,3.403e-12,0.3883008189589512,0.5965048240686182,1833,ENSG00000140836,35,ENSG00000140836,protein_coding,zinc finger homeobox 3 [Source:HGNC Symbol;Acc:777],ZFHX3,104155,777,463
GLIS3,104,4.463e-27,0.3873689017366533,0.5957972034654873,0,ENSG00000107249,36,ENSG00000107249,protein_coding,GLIS family zinc finger 3 [Source:HGNC Symbol;Acc:28510],GLIS3,610192,28510,169792
PNPLA5,6,2.35e-08,0.387072530248927,0.5947426410520559,36834,ENSG00000100341,37,ENSG00000100341,protein_coding,patatin-like phospholipase domain containing 5 [Source:HGNC Symbol;Acc:24888],PNPLA5,611589,24888,150379
PNPLA3,105,3.358e-10,0.387072530248927,0.5947426410520559,0,ENSG00000100344,38,ENSG00000100344,protein_coding,patatin-like phospholipase domain containing 3 [Source:HGNC Symbol;Acc:18590],PNPLA3,609567,18590,80339
SAMM50,147,3.358e-10,0.387072530248927,0.5947426410520559,0,ENSG00000100347,39,ENSG00000100347,protein_coding,SAMM50 sorting and assembly machinery component [Source:HGNC Symbol;Acc:24276],SAMM50,612058,24276,25813
HLA-DQA1,19572,9.33254e-47,0.3837293962714807,0.5923380193014026,0,ENSG00000196735,40,ENSG00000196735,protein_coding,"major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:4942]","DQ-A1,HLA-DQA1",146880,4942,3117
HLA-DQB1,15708,9.33254e-47,0.3837293962714807,0.5923380193014026,0,ENSG00000179344,41,ENSG00000179344,protein_coding,"major histocompatibility complex, class II, DQ beta 1 [Source:HGNC Symbol;Acc:4944]","HLA-DRB3,HLA-DQB1,HLA-DQB3",604305,4944,3119
PTCH1,19,3.512e-08,0.3827302052712462,0.5899555885895542,0,ENSG00000185920,42,ENSG00000185920,protein_coding,patched 1 [Source:HGNC Symbol;Acc:9585],"PTCH1,PTCH",601309,9585,5727
JADE2,80,2.85667e-10,0.3824320512806422,0.5898451484018763,0,ENSG00000043143,43,ENSG00000043143,protein_coding,jade family PHD finger 2 [Source:HGNC Symbol;Acc:22984],"JADE2,PHF15",610515,22984,23338
SLC22A18AS,36,1.2732099999999999e-27,0.3795517240888516,0.5883901853686677,14067,ENSG00000254827,44,ENSG00000254827,protein_coding,"solute carrier family 22 (organic cation transporter), member 18 antisense [Source:HGNC Symbol;Acc:10965]",SLC22A18AS,603240,10965,5003
SLC22A18,143,1.2732099999999999e-27,0.3795517240888516,0.5883901853686677,0,ENSG00000110628,45,ENSG00000110628,protein_coding,"solute carrier family 22, member 18 [Source:HGNC Symbol;Acc:10964]","SLC22A18,DKFZP667A184",602631,10964,5002
CDKN1C,132,1.53993e-41,0.3795517240888516,0.5883901853686677,20133,ENSG00000129757,46,ENSG00000129757,protein_coding,"cyclin-dependent kinase inhibitor 1C (p57, Kip2) [Source:HGNC Symbol;Acc:1786]",CDKN1C,600856,1786,1028
TUBB1,2,5.885730000000001e-26,0.3684698564717742,0.5761124355758795,5654,ENSG00000101162,47,ENSG00000101162,protein_coding,"tubulin, beta 1 class VI [Source:HGNC Symbol;Acc:16257]",TUBB1,612901,16257,81027
ATP5E,6,5.885730000000001e-26,0.3684698564717742,0.5761124355758795,0,ENSG00000124172,48,ENSG00000124172,protein_coding,"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit [Source:HGNC Symbol;Acc:838]",ATP5E,606153,838,514
SLMO2,8,5.885730000000001e-26,0.3684698564717742,0.5761124355758795,837,ENSG00000101166,49,ENSG00000101166,protein_coding,slowmo homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:15892],SLMO2,,15892,51012
FAM13A,22,4.751e-08,0.3691195727963044,0.5749619117751916,0,ENSG00000138640,50,ENSG00000138640,protein_coding,"family with sequence similarity 13, member A [Source:HGNC Symbol;Acc:19367]",FAM13A,613299,19367,10144
IDE,184,7.667000000000001e-63,0.3611217551594046,0.571867856736245,0,ENSG00000119912,51,,,,,,,
KIF11,52,2.0500000000000002e-70,0.3611217551594046,0.571867856736245,0,ENSG00000138160,52,,,,,,,
ARHGAP24,12,1.96991e-08,0.362182078658884,0.5673662662929432,0,ENSG00000138639,53,,,,,,,
ZNF346,296,1.51e-12,0.3603312757912245,0.5656135276022025,1394,ENSG00000113761,54,,,,,,,
FGFR4,598,1.51e-12,0.3603312757912245,0.5656135276022025,0,ENSG00000160867,55,,,,,,,
EGFL7,3,1.0039e-10,0.3537980190915357,0.5583775492722909,50987,ENSG00000172889,56,,,,,,,
RP11-145E5.5,149,1.465e-49,0.3507039343310248,0.5554554754178582,0,ENSG00000264545,57,,,,,,,
ZNF503,11,9.319e-11,0.3506815480629187,0.5548292777571995,23646,ENSG00000165655,58,,,,,,,
CALCOCO2,748,1.767e-13,0.3506768065376504,0.5546827530902939,0,ENSG00000136436,59,,,,,,,
UBE2Z,640,1.767e-13,0.3506768065376504,0.5546827530902939,0,ENSG00000159202,60,,,,,,,
TTLL6,8,3.112e-08,0.3506768065376504,0.5546827530902939,45082,ENSG00000170703,61,,,,,,,
ATP5G1,675,1.767e-13,0.3506768065376504,0.5546827530902939,0,ENSG00000159199,62,,,,,,,
AL117190.2,3,3.24631e-10,0.3486654985922898,0.5526755412350441,39645,ENSG00000267918,63,,,,,,,
MTNR1B,151,1.94984e-11,0.3476384458585608,0.5516724047511607,0,ENSG00000134640,64,,,,,,,
IGF2BP2,902,7.576e-42,0.3451865701709682,0.5499152029369907,0,ENSG00000073792,65,,,,,,,
ZMIZ1,168,9.12011e-16,0.3457881150249137,0.5496211498871734,0,ENSG00000108175,66,,,,,,,
RREB1,448,7.748189999999999e-20,0.3447145876248999,0.5486752441244852,0,ENSG00000124782,67,,,,,,,
SSR1,460,7.748189999999999e-20,0.3447145876248999,0.5486752441244852,0,ENSG00000124783,68,,,,,,,
PCSK5,5,4.8599e-10,0.3424135453338601,0.5457763191356945,0,ENSG00000099139,69,,,,,,,
ANKH,208,2.89494e-09,0.3420457024723941,0.5452805807801719,0,ENSG00000154122,70,,,,,,,
RBMS1,126,1.391e-11,0.3401626600257302,0.5434597572456029,0,ENSG00000153250,71,,,,,,,
ITGB6,63,1.391e-11,0.3401626600257302,0.5434597572456029,0,ENSG00000115221,72,,,,,,,
FGF6,18,4.37119e-27,0.3384265720603149,0.5431641256234939,15810,ENSG00000111241,73,,,,,,,
SPHKAP,3,2.794e-08,0.3326183471964437,0.5348123005760842,0,ENSG00000153820,74,,,,,,,
CDKAL1,303,1.31e-96,0.3234965448294349,0.5289191735758411,0,ENSG00000145996,75,,,,,,,
TLE1,15,2.69153e-12,0.3259089805979024,0.52784632508069,4728,ENSG00000196781,76,,,,,,,
KDM4B,20,5.289e-09,0.3260974814373906,0.5277106765398446,22084,ENSG00000127663,77,,,,,,,
ARRDC5,2,5.289e-09,0.3260974814373906,0.5277106765398446,43035,ENSG00000205784,78,,,,,,,
WNT10A,4,4.16016e-08,0.3254478370749782,0.5269023503810181,24133,ENSG00000135925,79,,,,,,,
WNT6,2,4.16016e-08,0.3254478370749782,0.5269023503810181,3592,ENSG00000115596,80,,,,,,,
PRKAG3,5,4.16016e-08,0.3254478370749782,0.5269023503810181,24143,ENSG00000115592,81,,,,,,,
CYP27A1,5,4.16016e-08,0.3254478370749782,0.5269023503810181,40936,ENSG00000135929,82,,,,,,,
KL,42,3.552e-18,0.3250825230806951,0.5265829722536082,0,ENSG00000133116,83,,,,,,,
NOM1,14,1.343e-10,0.3235048765460911,0.5250234317487252,21924,ENSG00000146909,84,,,,,,,
MNX1,12,1.343e-10,0.3235048765460911,0.5250234317487252,0,ENSG00000130675,85,,,,,,,
HECW2,6,2.39767e-08,0.3217567068955767,0.5228647870174821,0,ENSG00000138411,86,,,,,,,
MED20,7,2.53163e-13,0.32038413634452,0.521872578026171,13139,ENSG00000124641,87,,,,,,,
BYSL,5,2.53163e-13,0.32038413634452,0.521872578026171,1232,ENSG00000112578,88,,,,,,,
USP49,8,2.53163e-13,0.32038413634452,0.521872578026171,38917,ENSG00000164663,89,,,,,,,
CCND3,17,2.53163e-13,0.32038413634452,0.521872578026171,655,ENSG00000112576,90,,,,,,,
SNTG1,10,2.92651e-08,0.3201020485465204,0.5210346345244743,0,ENSG00000147481,91,,,,,,,
C19orf83,135,4.0220000000000003e-32,0.3151399387078645,0.5169173871952351,1429,ENSG00000267757,92,,,,,,,
SNRPD2,368,4.0220000000000003e-32,0.3151399387078645,0.5169173871952351,0,ENSG00000125743,93,,,,,,,
GIPR,322,4.0220000000000003e-32,0.3151399387078645,0.5169173871952351,0,ENSG00000010310,94,,,,,,,
QPCTL,184,4.0220000000000003e-32,0.3151399387078645,0.5169173871952351,0,ENSG00000011478,95,,,,,,,
EML2,1305,4.0220000000000003e-32,0.3151399387078645,0.5169173871952351,0,ENSG00000125746,96,,,,,,,
TMEM249,21,2.52029e-10,0.3116079348151406,0.5119010519064611,14007,ENSG00000214597,97,,,,,,,
HSF1,104,2.52029e-10,0.3116079348151406,0.5119010519064611,0,ENSG00000185122,98,,,,,,,
DGAT1,72,2.52029e-10,0.3116079348151406,0.5119010519064611,0,ENSG00000185000,99,,,,,,,
BOP1,72,2.52029e-10,0.3116079348151406,0.5119010519064611,0,ENSG00000170727,100,,,,,,,
FBXL6,63,2.52029e-10,0.3116079348151406,0.5119010519064611,17220,ENSG00000182325,101,,,,,,,
ADCK5,24,2.52029e-10,0.3116079348151406,0.5119010519064611,34919,ENSG00000173137,102,,,,,,,
SLC52A2,77,2.52029e-10,0.3116079348151406,0.5119010519064611,15924,ENSG00000185803,103,,,,,,,
GS1-393G12.13,7,2.52029e-10,0.3116079348151406,0.5119010519064611,15017,ENSG00000271698,104,,,,,,,
SCRT1,8,2.52029e-10,0.3116079348151406,0.5119010519064611,1928,ENSG00000170616,105,,,,,,,
ST6GAL1,378,1.78074e-14,0.3109145275430671,0.5115703297611386,0,ENSG00000073849,106,,,,,,,
CDHR5,6,5.23842e-12,0.3108082831778288,0.5111962092748414,1198,ENSG00000099834,107,,,,,,,
SCT,1,5.23842e-12,0.3108082831778288,0.5111962092748414,133,ENSG00000070031,108,,,,,,,
IRF7,13,5.23842e-12,0.3108082831778288,0.5111962092748414,11277,ENSG00000185507,109,,,,,,,
PHRF1,3,5.23842e-12,0.3108082831778288,0.5111962092748414,15054,ENSG00000070047,110,,,,,,,
DRD4,2,5.23842e-12,0.3108082831778288,0.5111962092748414,10017,ENSG00000069696,111,,,,,,,
DEAF1,13,5.23842e-12,0.3108082831778288,0.5111962092748414,16957,ENSG00000177030,112,,,,,,,
DNA2,36,6.17874e-12,0.3101213041588316,0.5104326430646473,0,ENSG00000138346,113,,,,,,,
RUFY2,60,6.17874e-12,0.3101213041588316,0.5104326430646473,0,ENSG00000204130,114,,,,,,,
SAYSD1,33,1.7869999999999998e-22,0.3094279990580789,0.5097694125640083,23780,ENSG00000112167,115,,,,,,,
GLP1R,13,1.7869999999999998e-22,0.3094279990580789,0.5097694125640083,0,ENSG00000112164,116,,,,,,,
DNAH8,78,1.7869999999999998e-22,0.3094279990580789,0.5097694125640083,23299,ENSG00000124721,117,,,,,,,
OR2J3,2,1.14551e-14,0.3087144260217922,0.5091688366483954,31620,ENSG00000204701,118,,,,,,,
OR2J2,2,1.14551e-14,0.3087144260217922,0.5091688366483954,16206,ENSG00000204700,119,,,,,,,
SIX2,5,1.831e-14,0.3029813090256824,0.5028376869437752,40220,ENSG00000170577,120,,,,,,,
SIX3,5,1.831e-14,0.3029813090256824,0.5028376869437752,15137,ENSG00000138083,121,,,,,,,
EPB41,10,1.6057e-08,0.3000710711852566,0.4990154899286801,0,ENSG00000159023,122,,,,,,,
CSNK2A3,1,1.6507e-08,0.3000171779831417,0.4989549239160348,10869,ENSG00000254598,123,,,,,,,
GALNT18,2,1.6507e-08,0.3000171779831417,0.4989549239160348,0,ENSG00000110328,124,,,,,,,
RP11-872D17.8,3,5.03222e-09,0.2977187664753662,0.4964790171583176,2263,ENSG00000254979,125,,,,,,,
PRG2,4,5.03222e-09,0.2977187664753662,0.4964790171583176,35665,ENSG00000186652,126,,,,,,,
PRG3,1,5.03222e-09,0.2977187664753662,0.4964790171583176,45172,ENSG00000156575,127,,,,,,,
RTN4RL2,3,5.03222e-09,0.2977187664753662,0.4964790171583176,34227,ENSG00000186907,128,,,,,,,
SLC43A3,19,5.03222e-09,0.2977187664753662,0.4964790171583176,0,ENSG00000134802,129,,,,,,,
RAI1,14,1.718e-09,0.2963103536810095,0.4949775294071021,0,ENSG00000108557,130,,,,,,,
CDKN2B,120,7.72859e-19,0.294578333380639,0.4940381562994942,0,ENSG00000147883,131,,,,,,,
R3HDML,76,1.308e-19,0.2950898515076281,0.4935419380716455,0,ENSG00000101074,132,,,,,,,
HNF4A,450,1.22349e-38,0.2950898515076281,0.4935419380716455,0,ENSG00000101076,133,,,,,,,
CFDP1,40,5.08944e-10,0.2945806709135442,0.4931284949823552,0,ENSG00000153774,134,,,,,,,
GPX5,4,3.19521e-19,0.2927742972779614,0.4920994665396641,6508,ENSG00000224586,135,,,,,,,
GPX6,3,3.19521e-19,0.2927742972779614,0.4920994665396641,0,ENSG00000198704,136,,,,,,,
PAM,353,3.38844e-16,0.2910111895631025,0.4898437651509625,0,ENSG00000145730,137,,,,,,,
SEC63,10,4.6696e-08,0.2892696692108243,0.4870790527201308,0,ENSG00000025796,138,,,,,,,
YTHDC2,7,4.755e-08,0.2863614703860246,0.4838774385956293,0,ENSG00000047188,139,,,,,,,
FAM185A,455,5.1191799999999994e-20,0.2821586421659154,0.4794753049018497,0,ENSG00000222011,140,,,,,,,
ZHX3,20,1.46923e-09,0.2814145632820198,0.4785901438565014,0,ENSG00000174306,141,,,,,,,
PLCG1,17,1.46923e-09,0.2814145632820198,0.4785901438565014,20999,ENSG00000124181,142,,,,,,,
P2RX7,16,5.57699e-14,0.2806752878875143,0.4782370515826624,0,ENSG00000089041,143,,,,,,,
P2RX4,20,5.57699e-14,0.2806752878875143,0.4782370515826624,0,ENSG00000135124,144,,,,,,,
HK1,98,1.05172e-17,0.277692590167149,0.4750985154015321,0,ENSG00000156515,145,,,,,,,
HKDC1,9,2.30038e-15,0.277692590167149,0.4750985154015321,0,ENSG00000156510,146,,,,,,,
CITED2,17,8.83507e-10,0.273729667459768,0.4701550789317427,129235,ENSG00000164442,147,,,,,,,
PPP2R2C,1197,1.14815e-22,0.2734496669304694,0.4700539172724768,0,ENSG00000074211,148,,,,,,,
WFS1,740,1.14815e-22,0.2734496669304694,0.4700539172724768,0,ENSG00000109501,149,,,,,,,
FKBPL,20,3.43875e-12,0.2692800285981587,0.4653962307931789,240,ENSG00000204315,150,,,,,,,
PPT2-EGFL8,273,3.09314e-12,0.2692800285981587,0.4653962307931789,0,ENSG00000258388,151,,,,,,,
ATF6B,261,1.34896e-16,0.2692800285981587,0.4653962307931789,0,ENSG00000213676,152,,,,,,,
TNXB,217,8.70964e-21,0.2692800285981587,0.4653962307931789,0,ENSG00000168477,153,,,,,,,
PRRT1,325,3.43875e-12,0.2692800285981587,0.4653962307931789,0,ENSG00000204314,154,,,,,,,
PPT2,468,3.09314e-12,0.2692800285981587,0.4653962307931789,0,ENSG00000221988,155,,,,,,,
TGFBR3L,18,4.04576e-10,0.2667000137839022,0.4624134923312477,2656,ENSG00000260001,156,,,,,,,
SNAPC2,36,4.04576e-10,0.2667000137839022,0.4624134923312477,0,ENSG00000104976,157,,,,,,,
MAP2K7,48,4.04576e-10,0.2667000137839022,0.4624134923312477,0,ENSG00000076984,158,,,,,,,
AC010336.1,6,4.04576e-10,0.2667000137839022,0.4624134923312477,0,ENSG00000214248,159,,,,,,,
CTD-3193O13.9,12,4.04576e-10,0.2667000137839022,0.4624134923312477,28842,ENSG00000183248,160,,,,,,,
CTXN1,6,4.04576e-10,0.2667000137839022,0.4624134923312477,2734,ENSG00000178531,161,,,,,,,
TIMM44,72,4.04576e-10,0.2667000137839022,0.4624134923312477,4965,ENSG00000104980,162,,,,,,,
LRRC8E,30,4.04576e-10,0.2667000137839022,0.4624134923312477,1267,ENSG00000171017,163,,,,,,,
ELAVL1,10,9.797e-10,0.2667000137839022,0.4624134923312477,36825,ENSG00000066044,164,,,,,,,
HNF1B,108,1.634e-17,0.2643065526504122,0.4602919506470261,0,ENSG00000108753,165,,,,,,,
DDX52,63,6.642e-16,0.2643065526504122,0.4602919506470261,40784,ENSG00000141141,166,,,,,,,
TSC22D2,7,5.48277e-09,0.264284799944427,0.4596773632638342,28487,ENSG00000196428,167,,,,,,,
ZNF184,11,1.29152e-18,0.2614008423953733,0.4575063154367309,5894,ENSG00000096654,168,,,,,,,
ZNF391,16,1.29152e-18,0.2614008423953733,0.4575063154367309,0,ENSG00000124613,169,,,,,,,
FBXO46,75,2.6030000000000003e-30,0.2552844521465889,0.4501103052217254,11715,ENSG00000177051,170,,,,,,,
GRM8,177,3.311e-31,0.2528665999889721,0.4494252252427485,0,ENSG00000179603,171,,,,,,,
CDC123,144,2.919e-24,0.2549548823837078,0.4493091270397625,0,ENSG00000151465,172,,,,,,,
APOC4,22,7.83791e-18,0.2546612641649046,0.4491098209884086,22549,ENSG00000267467,173,,,,,,,
TOMM40,66,7.83791e-18,0.2546612641649046,0.4491098209884086,0,ENSG00000130204,174,,,,,,,
APOC1,88,7.83791e-18,0.2546612641649046,0.4491098209884086,0,ENSG00000130208,175,,,,,,,
APOC2,50,7.83791e-18,0.2546612641649046,0.4491098209884086,26297,ENSG00000234906,176,,,,,,,
APOE,55,7.83791e-18,0.2546612641649046,0.4491098209884086,0,ENSG00000130203,177,,,,,,,
CTB-129P6.11,10,7.83791e-18,0.2546612641649046,0.4491098209884086,30355,ENSG00000267114,178,,,,,,,
PVRL2,66,7.83791e-18,0.2546612641649046,0.4491098209884086,4180,ENSG00000130202,179,,,,,,,
CLPTM1,110,7.83791e-18,0.2546612641649046,0.4491098209884086,34896,ENSG00000104853,180,,,,,,,
APOC4-APOC2,22,7.83791e-18,0.2546612641649046,0.4491098209884086,22549,ENSG00000224916,181,,,,,,,
ZNF442,8,1.536e-08,0.2533471763217647,0.4475819146598057,25738,ENSG00000198342,182,,,,,,,
ZNF443,4,1.536e-08,0.2533471763217647,0.4475819146598057,30985,ENSG00000180855,183,,,,,,,
CTD-3105H18.14,2,1.536e-08,0.2533471763217647,0.4475819146598057,0,ENSG00000268744,184,,,,,,,
CTD-3105H18.16,2,1.536e-08,0.2533471763217647,0.4475819146598057,0,ENSG00000268870,185,,,,,,,
ZNF799,8,1.536e-08,0.2533471763217647,0.4475819146598057,0,ENSG00000196466,186,,,,,,,
CTD-3105H18.18,2,1.536e-08,0.2533471763217647,0.4475819146598057,34381,ENSG00000269755,187,,,,,,,
LRRC4,4,5.433e-29,0.2490124177327897,0.4449524974922709,33355,ENSG00000128594,188,,,,,,,
UBE3D,7,4.8e-09,0.2495060318109631,0.4434177136241912,33370,ENSG00000118420,189,,,,,,,
MACF1,5066,2.37575e-13,0.2494812837339192,0.4433624171647946,0,ENSG00000127603,190,,,,,,,
RASGRP1,110,1.555e-13,0.2481852129758699,0.4422277195032663,0,ENSG00000172575,191,,,,,,,
RELN,35,7.5753e-11,0.2471929279458171,0.4410596090079491,0,ENSG00000189056,192,,,,,,,
MRAS,16,2.788e-09,0.2458965464010207,0.4394479962665772,0,ENSG00000158186,193,,,,,,,
ESYT3,14,2.788e-09,0.2458965464010207,0.4394479962665772,31306,ENSG00000158220,194,,,,,,,
PDE4D,25,4.32488e-09,0.2450599495905966,0.438529025005083,0,ENSG00000113448,195,,,,,,,
RGS6,96,1.0925e-09,0.2445774428230007,0.4380602279898129,0,ENSG00000182732,196,,,,,,,
