Dataset,Model,Approach,Question,Model_Answer,Ground_Truth,EM,F1,Accuracy,Success,Precision,Recall,Hits@1,Hits@5,Hits@10,MRR,BLEU,ROUGE-1,ROUGE-L,Semantic_Sim,Latency_ms,Input_Tokens,Output_Tokens,Total_Tokens,LLM_Calls,Confidence,Abstention,Type,Error
BioKGBench,GPT-4o-mini,Direct (No KG),What is the molecular function of the protein translated from the gene PSMD3?,,"{'protein binding', 'enzyme regulator activity'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1222.687006,44,35,79,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),What is the molecular function of the protein translated from the gene ORAI3?,,"{'store-operated calcium channel activity', 'protein binding'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,565.3305054,44,6,50,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),What is the molecular function of the protein translated from the gene OR4F16?,,"{'olfactory receptor activity', 'g protein-coupled receptor activity', 'protein binding'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1860.63385,45,5,50,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),Which biological process are the proteins P46087 and P62750 both associated with?,,"{'go0000027', 'ribosomal large subunit assembly'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,709.7527981,45,4,49,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),Which biological process are the proteins Q15050 and P83731 both associated with?,,"{'go0000027', 'ribosomal large subunit assembly'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,550.5983829,45,4,49,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),Which biological process are the proteins Q8TDN6 and P42677 both associated with?,,"{'go0006364', 'rrna processing'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,604.2239666,47,3,50,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),Which biological process are the proteins Q6Q0C0 and Q9BYC9 both associated with?,,"{'go0000027', 'ribosomal large subunit assembly'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,595.2544212,50,6,56,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),Which biological process are the proteins Q8NHW5 and Q8TDN6 both associated with?,,"{'go0000027', 'ribosomal large subunit assembly'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,651.2846947,49,6,55,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),Which biological process are the proteins P42677 and P62263 both associated with?,,"{'ribosomal small subunit assembly', 'translation', 'go0006412', 'ribosomal small subunit biogenesis', 'go0002181', 'go0042274', 'cytoplasmic translation', 'go0000028'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,592.2219753,45,4,49,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),Which biological process are the proteins P19971 and Q96CQ1 both associated with?,,"{'go0000002', 'mitochondrial genome maintenance'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,608.9904308,46,3,49,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),Which biological process are the proteins Q02878 and P62857 both associated with?,,"{'cytoplasmic translation', 'go0006412', 'go0002181', 'translation'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,614.8641109,45,4,49,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),Which biological process are the proteins Q96L21 and Q02878 both associated with?,,"{'go0000027', 'ribosomal large subunit assembly', 'go0006412', 'translation'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,575.3448009,46,3,49,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),Which biological process are the proteins Q9H611 and Q8IW19 both associated with?,,"{'go0006281', 'dna repair'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,596.8084335,47,6,53,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),Which biological process are the proteins Q96L21 and Q9Y2R9 both associated with?,,"{'go0006412', 'translation'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,511.8575096,49,3,52,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),Which biological process are the proteins O75616 and P62857 both associated with?,,"{'ribosomal small subunit assembly', 'go0000028'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,558.2885742,45,4,49,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),Which biological process are the proteins P46087 and P05388 both associated with?,,"{'go0000027', 'ribosomal large subunit assembly'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,583.4825039,45,4,49,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),Which biological process are the proteins Q9BYC9 and P83731 both associated with?,,"{'go0000027', 'ribosomal large subunit assembly'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,558.7720871,47,3,50,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),Which biological process are the proteins P09430 and Q9H4L7 both associated with?,,"{'go0006338', 'chromatin remodeling'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,645.6694603,48,4,52,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),Which biological process are the proteins Q9NU22 and P83731 both associated with?,,"{'go0000027', 'ribosomal large subunit assembly'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,674.3423939,46,3,49,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),Could you please specify which proteins the protein P42025 interacts with?,,"{'actb', 'dctn1', 'p60709', 'q14203'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1189.711809,42,27,69,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),Can you identify proteins that the protein P28288 show interaction with?,,"{'abcd3', 'abcd1', 'p28288', 'p33897'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1066.321611,42,22,64,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,What proteins does the protein P11310 interact with?,"ACADM, P11310, ACADSB, P45954, NDUFS2, O75306, ACOX3, O15254, CHAT, P28329, IDH2, P48735, CARM1, Q86X55, NDUFV1, P49821, NDUFS8, O00217, CRAT, P43155","{'p11310', 'acadm'}",0,18.18181818,0,FALSE,0.1,1,1,1,1,1,0.1,0.1818181818,0.09090909091,0.1,2369.8349,0,0,0,1,0.75,0,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,Could you please specify which proteins the protein P30153 interacts with?,"MARK4, Q96L34, CSNK1D, P48730, SEPTIN1, Q8WYJ6, FBF1, Q8TES7, FZD2, Q14332, SMC1A, Q14683, RPLP2, P05387, MLXIPL, Q9NP71, DYNC1I1, O14576, CACNB2, Q08289","{'q96l34', 'mark4'}",0,18.18181818,0,FALSE,0.1,1,1,1,1,1,0.1,0.1818181818,0.09090909091,0.1,2367.198229,0,0,0,1,0.75,0,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,Can you identify proteins that the protein P63261 show interaction with?,"GRB2, P62993, TLN2, Q9Y4G6, ITGB3, P05106, ITGA7, Q13683, MYL6B, P14649, MYL6, P60660, CYFIP2, Q96F07, ACTN2, P35609, POTEE, POTEE, MYO1H, Q8N1T3","{'grb2', 'p62993'}",0,19.04761905,0,FALSE,0.1052631579,1,1,1,1,1,0.1052631579,0.1904761905,0.1818181818,0.1052631579,2365.445852,0,0,0,1,0.75,0,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,"I'm curious, which proteins does the protein Q9BZC7 interact with?","CDK5RAP2, Q96SN8, ATP4B, P51164, ABCB8, Q9NUT2, FXYD2, P54710, ATP1B3, P54709, APP, P05067, ABCG8, Q9H221, ABCB6, Q9NP58, SLC9A1, P19634, ABCA7, Q8IZY2","{'q96sn8', 'cdk5rap2'}",0,18.18181818,0,FALSE,0.1,1,1,1,1,1,0.1,0.1818181818,0.09090909091,0.1,2258.235931,0,0,0,1,0.75,0,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,Do you know what proteins does the protein Q9Y3L3 interact with?,"HCK, P08631, PI4KA, PI4KA, INPPL1, O15357, INPP5D, Q92835, SYNJ1, O43426, CD2AP, Q9Y5K6","{'p08631', 'hck'}",0,30.76923077,0,FALSE,0.1818181818,1,1,1,1,1,0.1818181818,0.3076923077,0.1428571429,0.1818181818,2063.113689,0,0,0,1,0.75,0,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,What proteins does the protein Q9NRA8 interact with?,"EIF4E, P06730, KPNB1, Q14974, CSE1L, P55060, EIF3E, P60228, ERF, P50548, EIF4E2, O60573, CREBBP, Q92793, ARID3A, Q99856, LSM14B, Q9BX40, DCP1B, Q8IZD4","{'p06730', 'q14974', 'p55060', 'eif4e', 'kpnb1', 'cse1l'}",0,46.15384615,0,FALSE,0.3,1,1,1,1,1,0.3,0.4615384615,0.2307692308,0.3,2238.459349,0,0,0,1,0.75,0,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,Could you please specify which proteins the protein Q9H013 interacts with?,"UBC, P0CG48, ESF1, Q9H501, ABI2, Q9NYB9, ATP10B, O94823, NBEA, Q8NFP9, FURIN, P09958, ZP3, P21754, ITGAV, P06756, POMZP3, POMZP3, ADAM17, P78536","{'esf1', 'abi2', 'ubc', 'q9nyb9', 'p0cg48', 'q9h501'}",0,48,0,FALSE,0.3157894737,1,1,1,1,1,0.3157894737,0.48,0.2307692308,0.3157894737,3108.137369,0,0,0,1,0.75,0,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,Can you identify proteins that the protein P68032 show interaction with?,"GRB2, P62993, ERCC6L2, Q5T890, FMNL2, Q96PY5, MYO1E, Q12965, KAT6B, Q8WYB5, CCT8, P50990, RHOC, P08134, SMARCA5, O60264, ANKRD44, Q8N8A2, MYL9, P24844","{'grb2', 'p62993'}",0,18.18181818,0,FALSE,0.1,1,1,1,1,1,0.1,0.1818181818,0.1818181818,0.1,1839.494705,0,0,0,1,0.75,0,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,"I'm curious, which proteins does the protein P78536 interact with?","MAD2L1, Q13257, EFEMP2, O95967, SNED1, Q8TER0, CXCL8, P10145, PRKCB, PRKCB, UBB, P0CG47, COL22A1, Q8NFW1, SH3D19, Q5HYK7, LTBP3, Q9NS15, ANPEP, P15144","{'mad2l1', 'q13257'}",0,19.04761905,0,FALSE,0.1052631579,1,1,1,1,1,0.1052631579,0.1904761905,0.1818181818,0.1052631579,2216.790676,0,0,0,1,0.75,0,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,Do you know what proteins does the protein P01011 interact with?,"DNAJC1, Q96KC8, APOA5, Q6Q788, IL6, P05231, C1QC, P02747, ITIH2, P19823, FGG, P02679, KLK3, P07288, CTSW, P56202, CLEC1B, Q9P126, FAAH, O00519","{'q96kc8', 'dnajc1'}",0,18.18181818,0,FALSE,0.1,1,1,1,1,1,0.1,0.1818181818,0.09090909091,0.1,2787.782907,0,0,0,1,0.75,0,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,What proteins does the protein Q13541 interact with?,"EIF4E, P06730, EIF4E2, O60573, ATF4, P18848, RPS6KA4, O75676, MAPK11, Q15759, EIF4E1B, A6NMX2, EIF4EBP3, O60516, RPTOR, Q8N122, PLK1, PLK1, LRRK2, Q5S007","{'p06730', 'eif4e', 'eif4e2', 'o60573'}",0,34.7826087,0,FALSE,0.2105263158,1,1,1,1,1,0.2105263158,0.347826087,0.25,0.2105263158,2345.57128,0,0,0,1,0.75,0,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,Could you please specify which proteins the protein P78314 interacts with?,"YWHAQ, P27348, PTPN6, PTPN6, SH3KBP1, Q96B97, HLA-DRA, P01903, SYK, P43405, VAV2, P52735, VAV3, Q9UKW4, CD247, P20963, CD3E, P07766, HLA-DRB1, P01911","{'ywhaq', 'p27348'}",0,19.04761905,0,FALSE,0.1052631579,1,1,1,1,1,0.1052631579,0.1904761905,0.1818181818,0.1052631579,2327.839851,0,0,0,1,0.75,0,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,Can you identify proteins that the protein O60516 show interaction with?,"EIF4E, P06730, EIF4E2, O60573, EIF4H, Q15056, EIF4A1, P60842, RPTOR, Q8N122, EIF4E3, Q8N5X7, EIF4G3, O43432, EIF4E1B, A6NMX2, EIF4E, H0Y8J7, EIF4A2, Q14240","{'p06730', 'eif4e'}",0,19.04761905,0,FALSE,0.1052631579,1,1,1,1,1,0.1052631579,0.1904761905,0.1818181818,0.1052631579,2027.395487,0,0,0,1,0.75,0,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,"I'm curious, which proteins does the protein Q7L8J4 interact with?","YWHAG, P61981, YWHAZ, P63104","{'p61981', 'ywhag'}",0,66.66666667,0,FALSE,0.5,1,1,1,1,1,0.5,0.6666666667,0.3333333333,0.5,2190.500259,0,0,0,1,0.75,0,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,Do you know what proteins does the protein Q9NY61 interact with?,"MAPT, P10636, RBBP8, Q99708, POLR2J, POLR2J, SP1, P08047, EMG1, Q92979, FBLL1, A6NHQ2, RSL1D1, O76021, TBL3, Q12788, BOP1, Q14137, AKT1, P31749","{'rbbp8', 'p52435', 'p10636', 'polr2j', 'mapt', 'p08047', 'sp1', 'q99708'}",0,51.85185185,0,FALSE,0.3684210526,0.875,1,1,1,1,0.3684210526,0.5185185185,0.2142857143,0.35,2672.391653,0,0,0,1,0.75,0,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,What proteins does the protein P35609 interact with?,"LRP12, Q9Y561, MYOZ1, Q9NP98, KCNA4, P22459, KCNA5, P22460, MYBPC3, Q14896, ITGAM, P11215, ZNF185, O15231, POTEE, POTEE, MUC5B, Q9HC84, LMO7, Q8WWI1","{'p22459', 'kcna4', 'p22460', 'myoz1', 'lrp12', 'kcna5', 'q9np98', 'q9y561'}",0,59.25925926,0,FALSE,0.4210526316,1,1,1,1,1,0.4210526316,0.5925925926,0.1428571429,0.4210526316,2639.906168,0,0,0,1,0.75,0,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,What is the molecular function of the protein translated from the gene RND3?,,"{'gtp binding', 'gtpase activity', 'protein kinase binding', 'protein binding'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,7997.72501,0,0,0,1,0.5,1,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,What is the molecular function of the protein translated from the gene EOLA1?,,{'protein binding'},0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,3254.012823,0,0,0,1,0.5,1,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,What is the molecular function of the protein translated from the gene CSMD1?,,{'protein binding'},0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,3593.217373,0,0,0,1,0.5,1,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,What is the molecular function of the protein translated from the gene GOLT1A?,,"{'molecular_function', 'protein binding'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,2759.563684,0,0,0,1,0.5,1,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,What is the molecular function of the protein translated from the gene SIPA1L3?,,"{'gtpase activator activity', 'protein binding'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,3415.003777,0,0,0,1,0.5,1,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,What is the molecular function of the protein translated from the gene LRRC73?,,{'protein binding'},0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,4111.563683,0,0,0,1,0.5,1,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,What is the molecular function of the protein translated from the gene MTO1?,,"{'rna binding', 'flavin adenine dinucleotide binding'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,2821.67387,0,0,0,1,0.5,1,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,What is the molecular function of the protein translated from the gene CXCL3?,,"{'cxcr chemokine receptor binding', 'chemokine activity'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,3232.915401,0,0,0,1,0.5,1,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,What is the molecular function of the protein translated from the gene FBXL6?,,{'ubiquitin-protein transferase activity'},0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,2877.009869,0,0,0,1,0.5,1,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,What is the molecular function of the protein translated from the gene CPD?,,"{'metallocarboxypeptidase activity', 'serine-type carboxypeptidase activity', 'zinc ion binding'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,3030.718088,0,0,0,1,0.5,1,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,What is the molecular function of the protein translated from the gene ZNF552?,,"{'dna-binding transcription factor activity rna polymerase ii-specific', 'rna polymerase ii cis-regulatory region sequence-specific dna binding', 'protein binding', 'metal ion binding'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,3378.219366,0,0,0,1,0.5,1,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,What is the molecular function of the protein translated from the gene ERBIN?,,"{'signaling receptor binding', 'erbb-2 class receptor binding', 'structural constituent of cytoskeleton', 'protein binding'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,2385.525942,0,0,0,1,0.5,1,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,What is the molecular function of the protein translated from the gene STAG1?,,"{'chromatin binding', 'protein binding'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,3629.00424,0,0,0,1,0.5,1,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,What is the molecular function of the protein translated from the gene PSMD3?,,"{'protein binding', 'enzyme regulator activity'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,3468.860149,0,0,0,1,0.5,1,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,What is the molecular function of the protein translated from the gene ORAI3?,,"{'store-operated calcium channel activity', 'protein binding'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,2797.953844,0,0,0,1,0.5,1,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,What is the molecular function of the protein translated from the gene OR4F16?,,"{'olfactory receptor activity', 'g protein-coupled receptor activity', 'protein binding'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,3860.004902,0,0,0,1,0.5,1,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,Which biological process are the proteins P46087 and P62750 both associated with?,"ribosomal large subunit assembly, GO:0000027","{'go0000027', 'ribosomal large subunit assembly'}",0,100,0,FALSE,1,1,1,1,1,1,0.8,0.8,0.8,0.6666666667,3378.423214,0,0,0,1,0.75,0,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,Which biological process are the proteins Q15050 and P83731 both associated with?,"ribosomal large subunit assembly, GO:0000027","{'go0000027', 'ribosomal large subunit assembly'}",0,100,0,FALSE,1,1,1,1,1,1,0.8,0.8,0.8,0.6666666667,2947.105885,0,0,0,1,0.75,0,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,Which biological process are the proteins Q8TDN6 and P42677 both associated with?,"rRNA processing, GO:0006364","{'go0006364', 'rrna processing'}",0,100,0,FALSE,1,1,1,1,1,1,0.6666666667,0.6666666667,0.6666666667,0.5,3133.018017,0,0,0,1,0.75,0,N/A,
BioKGBench,GPT-4o-mini,Cypher KG,Which biological process are the proteins Q6Q0C0 and Q9BYC9 both associated with?,"ribosomal large subunit assembly, GO:0000027","{'go0000027', 'ribosomal large subunit assembly'}",0,100,0,FALSE,1,1,1,1,1,1,0.8,0.8,0.8,0.6666666667,2809.319735,0,0,0,1,0.75,0,N/A,
